,,0,1
price,count,12870.0,3754.0
price,mean,4.4876775446775445,5.142160362280234
price,std,3.6104748971523994,4.051490361402539
price,min,0.03,0.1
price,25%,2.49,2.69
price,50%,3.69,3.99
price,75%,5.48,6.49
price,max,72.99,35.99
price percal,count,12870.0,3754.0
price percal,mean,0.011318740546231547,0.08929298176877998
price percal,std,0.03640771510593223,0.6833313039660078
price percal,min,5.64e-05,1.26e-05
price percal,25%,0.0027536475000000003,0.003766445
price percal,50%,0.0052835,0.007916015
price percal,75%,0.010416572499999999,0.017554585
price percal,max,1.79272563,15.0716142
package_weight,count,12870.0,3754.0
package_weight,mean,439.0387935163093,544.0446234358551
package_weight,std,810.252578421999,4479.05978852
package_weight,min,3.40194,1.36
package_weight,25%,198.4465,198.4465
package_weight,50%,326.01925,340.194
package_weight,75%,480.0,453.59237
package_weight,max,61440.0,272155.422
Protein,count,12870.0,3754.0
Protein,mean,7.859393964973583,12.522408810058606
Protein,std,8.08147295140708,11.360496329047214
Protein,min,0.0,0.0
Protein,25%,3.33333333,1.86770466
Protein,50%,6.66666667,12.0
Protein,75%,10.0,21.1643944
Protein,max,294.642857,185.714286
Total Fat,count,12870.0,3754.0
Total Fat,mean,12.470729853304585,15.917716175516782
Total Fat,std,12.323295631305164,20.930844545516983
Total Fat,min,0.0,0.0
Total Fat,25%,2.81690141,0.18245045999999998
Total Fat,50%,9.375,3.72847203
Total Fat,75%,20.0,30.326086949999997
Total Fat,max,266.666667,215.171343
Carbohydrate,count,12870.0,3754.0
Carbohydrate,mean,38.04924629762223,16.965343913444805
Carbohydrate,std,31.52590184001313,24.060752602361855
Carbohydrate,min,0.0,0.0
Carbohydrate,25%,12.50155829925,1.00707243415
Carbohydrate,50%,34.999999990000006,6.905872895
Carbohydrate,75%,57.74999999999999,21.4953781285
Carbohydrate,max,880.952381,427.6086954999999
"Sugars, total",count,12865.0,3751.0
"Sugars, total",mean,14.739366447895064,4.430622082194081
"Sugars, total",std,18.238304953308806,9.368937090837301
"Sugars, total",min,0.0,0.0
"Sugars, total",25%,1.76369954,0.0
"Sugars, total",50%,6.34931833,1.35135135
"Sugars, total",75%,24.0,4.739672130000001
"Sugars, total",max,178.947368,100.0
"Fiber, total dietary",count,12865.0,3751.0
"Fiber, total dietary",mean,3.0710085707920713,3.6680039490962413
"Fiber, total dietary",std,4.64361217045854,6.254712119501627
"Fiber, total dietary",min,0.0,0.0
"Fiber, total dietary",25%,0.0,0.0
"Fiber, total dietary",50%,1.75438597,1.17579969
"Fiber, total dietary",75%,3.57142857,4.61538462
"Fiber, total dietary",max,125.0,66.6666667
Calcium,count,12870.0,3754.0
Calcium,mean,0.0802995763123543,0.15946557757059135
Calcium,std,0.15484723062919137,0.33310143795218056
Calcium,min,0.0,0.0
Calcium,25%,0.0,0.00416667
Calcium,50%,0.03714286,0.03461759
Calcium,75%,0.1096469,0.13541667
Calcium,max,6.5,9.75
Iron,count,12870.0,3754.0
Iron,mean,0.0018995408943278944,0.002216093212573255
Iron,std,0.0032474100600230565,0.009601137351896117
Iron,min,-0.0002116,0.0
Iron,25%,0.0,0.0
Iron,50%,0.00126986,0.00064286
Iron,75%,0.00257143,0.00241071
Iron,max,0.11555556,0.36
Sodium,count,12870.0,3754.0
Sodium,mean,1.3463164038235196,0.5057677223686733
Sodium,std,89.9439808477136,11.788913925559193
Sodium,min,0.0,0.0
Sodium,25%,0.1399999965,0.0022135561749999253
Sodium,50%,0.3368181843,0.06
Sodium,75%,0.5777879679,0.3784997162249999
Sodium,max,10169.999999999998,717.4729712899999
Cholesterol,count,12870.0,3754.0
Cholesterol,mean,0.026590053913752913,0.058544162472029836
Cholesterol,std,1.164090716849502,1.7276440229041095
Cholesterol,min,0.0,0.0
Cholesterol,25%,0.0,0.0
Cholesterol,50%,0.0,0.0
Cholesterol,75%,0.01666667,0.05357143
Cholesterol,max,127.45098,105.821972
"Fatty acids, total saturated",count,12865.0,3751.0
"Fatty acids, total saturated",mean,4.297748898724446,5.734226279573447
"Fatty acids, total saturated",std,5.6890326475467985,8.900048732352273
"Fatty acids, total saturated",min,0.0,0.0
"Fatty acids, total saturated",25%,0.0,0.0
"Fatty acids, total saturated",50%,2.3255814,0.70547981
"Fatty acids, total saturated",75%,6.25,9.375
"Fatty acids, total saturated",max,100.0,70.5218618
