,count,mean,std,min,25%,50%,75%,max
price,16624.0,4.635471607314726,3.72458414578737,0.03,2.5,3.79,5.69,72.99
price percal,16624.0,0.02892673510526949,0.327889159420587,1.26e-05,0.00292048,0.005720565,0.0117119275,15.0716142
package_weight,16624.0,462.75100992138476,2244.905209794318,1.36,198.4465,340.194,479.10655,272155.422
Protein,16624.0,8.912387091083373,9.137883729233506,0.0,3.125,6.97674419,12.0,294.642857
Total Fat,16624.0,13.249121735738692,14.78363615454771,0.0,1.7699115,8.54859721,21.1643944,266.666667
Carbohydrate,16624.0,33.28811964036753,31.270679900527753,0.0,7.9357142825,26.25,53.4,880.952381
"Sugars, total",16616.0,12.412205872802119,17.202521490064,0.0,0.96153846,4.16666667,18.1818182,178.947368
"Fiber, total dietary",16616.0,3.2057780498495423,5.058362783171395,0.0,0.0,1.66666667,3.57142857,125.0
Calcium,16624.0,0.09817669185153995,0.21144577576102397,0.0,0.0,0.03610067,0.11428571,9.75
Iron,16624.0,0.0019710241355871028,0.005384577844057723,-0.0002116,0.0,0.00112676,0.00257143,0.36
Sodium,16624.0,1.156505302392968,79.33763579872883,0.0,0.068823531,0.2925,0.5460000038999999,10169.999999999998
Cholesterol,16624.0,0.03380586981412416,1.3126812268747863,0.0,0.0,0.0,0.01818182,127.45098
"Fatty acids, total saturated",16616.0,4.622028307460882,6.580038376244895,0.0,0.0,2.04081633,6.66666667,100.0
