scenario,model,split,params,accuracy,precision,recall,f1,roc_auc
original,baseline_majority,train,{},0.7742129536795669,0.0,0.0,0.0,
original,baseline_majority,val,{},0.7741353383458647,0.0,0.0,0.0,
original,baseline_majority,test,{},0.7741353383458647,0.0,0.0,0.0,
original,decision_tree,train,"{'max_depth': 7, 'min_samples_split': 2}",0.922699017445358,0.7786977794505081,0.9187388987566608,0.8429415359543695,0.9692929430940088
original,decision_tree,val,"{'max_depth': 7, 'min_samples_split': 2}",0.9085714285714286,0.7502799552071668,0.8921438082556591,0.8150851581508516,0.9475620178016982
original,decision_tree,test,"{'max_depth': 7, 'min_samples_split': 2}",0.916390977443609,0.7678369195922989,0.9027962716378164,0.8298653610771114,0.952239541786812
original,random_forest,train,"{'n_estimators': 300, 'max_depth': None}",1.0,1.0,1.0,1.0,1.0
original,random_forest,val,"{'n_estimators': 300, 'max_depth': None}",0.9485714285714286,0.905027932960894,0.8628495339547271,0.8834355828220859,0.9864749099103292
original,random_forest,test,"{'n_estimators': 300, 'max_depth': None}",0.9491729323308272,0.9193083573487032,0.8495339547270306,0.8830449826989619,0.9866795063199856
original,xgboost,train,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.1}",0.9986966111890916,0.9951348960636888,0.9991119005328596,0.9971194327498338,0.9999799884346954
original,xgboost,val,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.1}",0.9690225563909776,0.9207792207792208,0.9440745672436752,0.9322813938198552,0.9930344104778192
original,xgboost,test,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.1}",0.9627067669172932,0.906614785992218,0.9307589880159788,0.9185282522996058,0.9922289576084516
outlier_removed,baseline_majority,train,{},0.7857745884339383,0.0,0.0,0.0,
outlier_removed,baseline_majority,val,{},0.7741353383458647,0.0,0.0,0.0,
outlier_removed,baseline_majority,test,{},0.7741353383458647,0.0,0.0,0.0,
outlier_removed,decision_tree,train,"{'max_depth': 7, 'min_samples_split': 20}",0.9089278176445758,0.7197740112994351,0.9413793103448276,0.8157950907150481,0.9730576737071778
outlier_removed,decision_tree,val,"{'max_depth': 7, 'min_samples_split': 20}",0.8893233082706767,0.6952089704383282,0.9081225033288948,0.7875288683602771,0.9430107176445393
outlier_removed,decision_tree,test,"{'max_depth': 7, 'min_samples_split': 20}",0.8965413533834586,0.7087179487179487,0.9201065246338216,0.8006952491309386,0.9435282870702312
outlier_removed,random_forest,train,"{'n_estimators': 200, 'max_depth': None}",1.0,1.0,1.0,1.0,0.9999999999999999
outlier_removed,random_forest,val,"{'n_estimators': 200, 'max_depth': None}",0.9431578947368421,0.9002849002849003,0.8415446071904128,0.8699242945629732,0.9847851142791223
outlier_removed,random_forest,test,"{'n_estimators': 200, 'max_depth': None}",0.9452631578947368,0.9177679882525698,0.8322237017310253,0.8729050279329609,0.9856391943608988
outlier_removed,xgboost,train,"{'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.05}",0.9992612916842549,0.9970515970515971,0.9995073891625615,0.9982779827798278,0.9999946412197378
outlier_removed,xgboost,val,"{'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.05}",0.9651127819548873,0.9118028534370947,0.9360852197070573,0.923784494086728,0.9919661637371359
outlier_removed,xgboost,test,"{'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.05}",0.9621052631578947,0.9084967320261438,0.9254327563249002,0.91688654353562,0.991440575994504
